GEOID,Census_Tract,County,State,Total,Total_Owner,Owner_plumbing,Owner_no_plumbing,Total_Renter,Renter_plumbing,Renter_no_plumbing
36005017100,Census Tract 171, Bronx, New York,0,0,0,0,0,0,0,
36005017300,Census Tract 173, Bronx, New York,2094,105,105,0,1989,1989,0,
36005017500,Census Tract 175, Bronx, New York,2858,0,0,0,2858,2858,0,
36005017701,Census Tract 177.01, Bronx, New York,1223,77,77,0,1146,1107,39,
36005017702,Census Tract 177.02, Bronx, New York,1539,222,222,0,1317,1317,0,
36005017901,Census Tract 179.01, Bronx, New York,1605,116,108,8,1489,1489,0,
36005017902,Census Tract 179.02, Bronx, New York,1252,0,0,0,1252,1252,0,
36005018101,Census Tract 181.01, Bronx, New York,1009,57,57,0,952,952,0,
36005018102,Census Tract 181.02, Bronx, New York,2100,55,55,0,2045,2045,0,
36005018301,Census Tract 183.01, Bronx, New York,2074,432,432,0,1642,1642,0,
36005018302,Census Tract 183.02, Bronx, New York,1406,60,60,0,1346,1339,7,
36005018400,Census Tract 184, Bronx, New York,1438,615,586,29,823,823,0,
36005018501,Census Tract 185.01, Bronx, New York,1115,15,15,0,1100,1100,0,
36005018502,Census Tract 185.02, Bronx, New York,2023,86,86,0,1937,1937,0,
36005018900,Census Tract 189, Bronx, New York,2753,127,127,0,2626,2626,0,
36005019300,Census Tract 193, Bronx, New York,2440,96,96,0,2344,2344,0,
36005019400,Census Tract 194, Bronx, New York,718,306,299,7,412,395,17,
36005019500,Census Tract 195, Bronx, New York,2572,84,84,0,2488,2458,30,
36005019700,Census Tract 197, Bronx, New York,2415,12,12,0,2403,2403,0,
36005019900,Census Tract 199, Bronx, New York,3145,117,117,0,3028,3028,0,
36005020000,Census Tract 200, Bronx, New York,1466,256,256,0,1210,1210,0,
36005020100,Census Tract 201, Bronx, New York,1288,0,0,0,1288,1288,0,
36005020200,Census Tract 202, Bronx, New York,875,135,135,0,740,740,0,
36005020400,Census Tract 204, Bronx, New York,994,194,194,0,800,800,0,
36005020501,Census Tract 205.01, Bronx, New York,2697,40,40,0,2657,2657,0,
36005020502,Census Tract 205.02, Bronx, New York,995,166,166,0,829,803,26,
36005020601,Census Tract 206.01, Bronx, New York,864,218,218,0,646,646,0,
36005020900,Census Tract 209, Bronx, New York,1848,0,0,0,1848,1780,68,
36005021001,Census Tract 210.01, Bronx, New York,3666,751,751,0,2915,2915,0,
36005021002,Census Tract 210.02, Bronx, New York,3263,559,559,0,2704,2704,0,
36005021100,Census Tract 211, Bronx, New York,1803,111,111,0,1692,1682,10,
36005021200,Census Tract 212, Bronx, New York,2323,582,582,0,1741,1741,0,
36005021301,Census Tract 213.01, Bronx, New York,409,101,101,0,308,308,0,
36005021302,Census Tract 213.02, Bronx, New York,2406,52,52,0,2354,2354,0,
36005021501,Census Tract 215.01, Bronx, New York,1319,26,26,0,1293,1293,0,
36005021502,Census Tract 215.02, Bronx, New York,2112,106,106,0,2006,2006,0,
36005021601,Census Tract 216.01, Bronx, New York,1468,263,263,0,1205,1180,25,
36005021602,Census Tract 216.02, Bronx, New York,2200,527,527,0,1673,1673,0,
36005021700,Census Tract 217, Bronx, New York,1610,7,7,0,1603,1546,57,
36005021800,Census Tract 218, Bronx, New York,2265,408,408,0,1857,1801,56,
36005021900,Census Tract 219, Bronx, New York,379,0,0,0,379,379,0,
36005022000,Census Tract 220, Bronx, New York,620,14,14,0,606,606,0,
36005022101,Census Tract 221.01, Bronx, New York,1258,0,0,0,1258,1258,0,
36005022102,Census Tract 221.02, Bronx, New York,1593,11,11,0,1582,1582,0,
36005022200,Census Tract 222, Bronx, New York,1007,197,197,0,810,810,0,
36005022300,Census Tract 223, Bronx, New York,1993,0,0,0,1993,1982,11,
36005022401,Census Tract 224.01, Bronx, New York,1047,101,101,0,946,946,0,
36005022403,Census Tract 224.03, Bronx, New York,1230,163,163,0,1067,1053,14,
36005022404,Census Tract 224.04, Bronx, New York,1839,461,461,0,1378,1378,0,
36005022500,Census Tract 225, Bronx, New York,2220,79,79,0,2141,2123,18,
36005022701,Census Tract 227.01, Bronx, New York,1934,44,44,0,1890,1865,25,
36005022702,Census Tract 227.02, Bronx, New York,538,26,26,0,512,510,2,
36005022703,Census Tract 227.03, Bronx, New York,659,12,12,0,647,639,8,
36005022800,Census Tract 228, Bronx, New York,2457,383,383,0,2074,2074,0,
36005022901,Census Tract 229.01, Bronx, New York,1927,74,74,0,1853,1853,0,
36005022902,Census Tract 229.02, Bronx, New York,1110,234,234,0,876,876,0,
36005023000,Census Tract 230, Bronx, New York,1020,176,176,0,844,843,1,
36005023100,Census Tract 231, Bronx, New York,427,16,16,0,411,411,0,
36005023200,Census Tract 232, Bronx, New York,777,324,324,0,453,453,0,
36005023301,Census Tract 233.01, Bronx, New York,1601,154,154,0,1447,1420,27,
36005023302,Census Tract 233.02, Bronx, New York,913,0,0,0,913,913,0,
36005023501,Census Tract 235.01, Bronx, New York,1187,0,0,0,1187,1187,0,
36005023502,Census Tract 235.02, Bronx, New York,1486,75,75,0,1411,1379,32,
36005023600,Census Tract 236, Bronx, New York,542,114,114,0,428,428,0,
36005023702,Census Tract 237.02, Bronx, New York,414,6,6,0,408,408,0,
36005023703,Census Tract 237.03, Bronx, New York,1593,11,11,0,1582,1582,0,
36005023704,Census Tract 237.04, Bronx, New York,1232,14,14,0,1218,1218,0,
36005023800,Census Tract 238, Bronx, New York,756,287,281,6,469,469,0,
36005023900,Census Tract 239, Bronx, New York,2371,26,26,0,2345,2304,41,
36005024000,Census Tract 240, Bronx, New York,1290,477,450,27,813,813,0,
36005024100,Census Tract 241, Bronx, New York,2274,56,56,0,2218,2199,19,
36005024300,Census Tract 243, Bronx, New York,1918,42,42,0,1876,1844,32,
36005024400,Census Tract 244, Bronx, New York,820,356,356,0,464,464,0,
36005024501,Census Tract 245.01, Bronx, New York,1396,26,26,0,1370,1370,0,
36005024502,Census Tract 245.02, Bronx, New York,1203,23,23,0,1180,1180,0,
36005024600,Census Tract 246, Bronx, New York,748,328,328,0,420,416,4,
36005024700,Census Tract 247, Bronx, New York,751,15,15,0,736,729,7,
36005024800,Census Tract 248, Bronx, New York,1142,283,283,0,859,859,0,
36005024900,Census Tract 249, Bronx, New York,0,0,0,0,0,0,0,
36005025000,Census Tract 250, Bronx, New York,983,542,542,0,441,441,0,
36005025100,Census Tract 251, Bronx, New York,2180,491,491,0,1689,1689,0,
36005025200,Census Tract 252, Bronx, New York,936,356,346,10,580,575,5,
36005025300,Census Tract 253, Bronx, New York,1877,57,57,0,1820,1820,0,
36005025400,Census Tract 254, Bronx, New York,771,400,400,0,371,371,0,
36005025500,Census Tract 255, Bronx, New York,2398,141,141,0,2257,2235,22,
36005025600,Census Tract 256, Bronx, New York,612,183,183,0,429,429,0,
36005025700,Census Tract 257, Bronx, New York,699,23,23,0,676,654,22,
36005026100,Census Tract 261, Bronx, New York,1108,928,928,0,180,180,0,
36005026300,Census Tract 263, Bronx, New York,2341,101,101,0,2240,2240,0,
36005026400,Census Tract 264, Bronx, New York,1995,1029,1029,0,966,966,0,
36005026500,Census Tract 265, Bronx, New York,2140,49,49,0,2091,2091,0,
36005026601,Census Tract 266.01, Bronx, New York,1363,295,295,0,1068,1068,0,
36005026602,Census Tract 266.02, Bronx, New York,2469,524,524,0,1945,1925,20,
36005026701,Census Tract 267.01, Bronx, New York,1281,24,24,0,1257,1257,0,
36005026702,Census Tract 267.02, Bronx, New York,2787,447,447,0,2340,2248,92,
36005026900,Census Tract 269, Bronx, New York,1735,175,175,0,1560,1500,60,
36005027300,Census Tract 273, Bronx, New York,2879,381,381,0,2498,2456,42,
36005027401,Census Tract 274.01, Bronx, New York,1733,1292,1292,0,441,441,0,
36005027402,Census Tract 274.02, Bronx, New York,1265,781,742,39,484,484,0,
36005027600,Census Tract 276, Bronx, New York,146,0,0,0,146,146,0,
36005027700,Census Tract 277, Bronx, New York,1816,57,57,0,1759,1759,0,
36005027900,Census Tract 279, Bronx, New York,2760,829,829,0,1931,1931,0,
36005028100,Census Tract 281, Bronx, New York,1746,926,926,0,820,820,0,
36005028300,Census Tract 283, Bronx, New York,838,35,35,0,803,803,0,
36005028400,Census Tract 284, Bronx, New York,0,0,0,0,0,0,0,
36005028500,Census Tract 285, Bronx, New York,1697,466,466,0,1231,1231,0,
36005028600,Census Tract 286, Bronx, New York,470,215,215,0,255,255,0,
36005028700,Census Tract 287, Bronx, New York,1227,281,246,35,946,946,0,
36005028800,Census Tract 288, Bronx, New York,1074,577,566,11,497,497,0,
36005028900,Census Tract 289, Bronx, New York,1824,267,267,0,1557,1516,41,
36005029301,Census Tract 293.01, Bronx, New York,861,738,734,4,123,123,0,
36005029302,Census Tract 293.02, Bronx, New York,2666,1639,1639,0,1027,1027,0,
36005029500,Census Tract 295, Bronx, New York,2115,1061,1061,0,1054,1054,0,
36005029600,Census Tract 296, Bronx, New York,838,151,151,0,687,687,0,
36005029700,Census Tract 297, Bronx, New York,1793,959,959,0,834,834,0,
36005030000,Census Tract 300, Bronx, New York,2505,840,827,13,1665,1665,0,
36005030100,Census Tract 301, Bronx, New York,635,323,323,0,312,312,0,
36005030201,Census Tract 302.01, Bronx, New York,1572,837,837,0,735,735,0,
36005030202,Census Tract 302.02, Bronx, New York,2456,1034,1020,14,1422,1360,62,
36005030701,Census Tract 307.01, Bronx, New York,2357,973,973,0,1384,1384,0,
36005030900,Census Tract 309, Bronx, New York,1427,681,681,0,746,746,0,
36005031000,Census Tract 310, Bronx, New York,1308,932,932,0,376,376,0,
36005031200,Census Tract 312, Bronx, New York,560,326,326,0,234,234,0,
36005031400,Census Tract 314, Bronx, New York,632,430,415,15,202,202,0,
36005031600,Census Tract 316, Bronx, New York,684,359,359,0,325,325,0,
36005031800,Census Tract 318, Bronx, New York,565,370,370,0,195,195,0,
36005031900,Census Tract 319, Bronx, New York,0,0,0,0,0,0,0,
36005032300,Census Tract 323, Bronx, New York,2592,1744,1744,0,848,848,0,
36005032400,Census Tract 324, Bronx, New York,1189,174,174,0,1015,1015,0,
36005032600,Census Tract 326, Bronx, New York,1037,498,498,0,539,539,0,
36005032800,Census Tract 328, Bronx, New York,1475,176,176,0,1299,1299,0,
36005033000,Census Tract 330, Bronx, New York,2132,187,187,0,1945,1945,0,
36005033201,Census Tract 332.01, Bronx, New York,2551,448,448,0,2103,2073,30,
36005033202,Census Tract 332.02, Bronx, New York,1645,407,407,0,1238,1238,0,
36005033400,Census Tract 334, Bronx, New York,4,4,4,0,0,0,0,
36005033500,Census Tract 335, Bronx, New York,703,412,412,0,291,291,0,
36005033601,Census Tract 336.01, Bronx, New York,2123,83,83,0,2040,2040,0,
36005033602,Census Tract 336.02, Bronx, New York,676,283,283,0,393,393,0,
36005033700,Census Tract 337, Bronx, New York,934,657,657,0,277,277,0,
36005033801,Census Tract 338.01, Bronx, New York,791,215,215,0,576,526,50,
36005033802,Census Tract 338.02, Bronx, New York,551,19,19,0,532,532,0,
36005034000,Census Tract 340, Bronx, New York,1821,357,357,0,1464,1398,66,
36005034200,Census Tract 342, Bronx, New York,601,313,313,0,288,281,7,
36005034300,Census Tract 343, Bronx, New York,570,204,204,0,366,366,0,
36005034400,Census Tract 344, Bronx, New York,626,387,387,0,239,239,0,
36005034500,Census Tract 345, Bronx, New York,1287,600,600,0,687,649,38,
36005034800,Census Tract 348, Bronx, New York,2078,764,764,0,1314,1314,0,
36005035000,Census Tract 350, Bronx, New York,715,345,345,0,370,370,0,
36005035100,Census Tract 351, Bronx, New York,1267,504,504,0,763,763,0,
36005035600,Census Tract 356, Bronx, New York,705,457,457,0,248,248,0,
36005035800,Census Tract 358, Bronx, New York,2816,1861,1861,0,955,955,0,
36005035900,Census Tract 359, Bronx, New York,781,38,38,0,743,736,7,
36005036000,Census Tract 360, Bronx, New York,943,744,744,0,199,199,0,
36005036100,Census Tract 361, Bronx, New York,2071,25,25,0,2046,1961,85,
36005036300,Census Tract 363, Bronx, New York,2369,162,162,0,2207,2207,0,
36005036400,Census Tract 364, Bronx, New York,868,493,493,0,375,375,0,
36005036501,Census Tract 365.01, Bronx, New York,1371,98,98,0,1273,1273,0,
36005036502,Census Tract 365.02, Bronx, New York,758,37,37,0,721,721,0,
36005036700,Census Tract 367, Bronx, New York,632,141,141,0,491,474,17,
36005036800,Census Tract 368, Bronx, New York,570,282,282,0,288,281,7,
